Team,Drafted,PDGA#,Current Roster #,Current Roster
I use my left hand (Aaron G),Calvin Heimburg,45971,0,Kona Panis
I use my left hand (Aaron G),Drew Gibson,48346,1,Maria Oliva
I use my left hand (Aaron G),Kona Panis,27832,2,Calvin H
I use my left hand (Aaron G),Thomas Gilbert,85850,3,Drew Gibson
I use my left hand (Aaron G),Juliana Korver,7438,4,Thomas Gilbert
I use my left hand (Aaron G),Chandler Fry,25541,5,Chandler Fry
I use my left hand (Aaron G),Maria Oliva,63257,6,Conor O'Reilly
I use my left hand (Aaron G),Cole Redalen,79748,7,Cole Redalen
I use my left hand (Aaron G),Connor O'Reilly,99648,8,Juliana Korver
I use my left hand (Aaron G),Clint Calvin,84958,9,Clint Calvin
Hogan's Humans (Sean),Paige Pierce ,29190,0,Paige pierce
Hogan's Humans (Sean),Kyle Klein,85132,1,Heather young
Hogan's Humans (Sean),Heather Young,100965,2,Kyle Klein
Hogan's Humans (Sean),Bradley Williams ,31644,3,B. Will
Hogan's Humans (Sean),Chris Clemons ,50401,4,Chris Clemons
Hogan's Humans (Sean),Nathan Queen,68286,5,Colten Monty
Hogan's Humans (Sean),Colten Montgomery ,35876,6,Luke humphries
Hogan's Humans (Sean),Erika Stinchcomb,71262,7,Erika  stinchcomb
Hogan's Humans (Sean),Luke Humphries,69424,8,Nathan queen
Hogan's Humans (Sean),Albert Tamm,76669,9,Albert tamm
Catoutofthebuhrdiebag (Brandon),Catrina Allen,,,
Catoutofthebuhrdiebag (Brandon),Eveliina Sollonen,,,
Catoutofthebuhrdiebag (Brandon),Gannon Buhr,,,
Catoutofthebuhrdiebag (Brandon),Andrew Marwede,,,
Catoutofthebuhrdiebag (Brandon),Holyn Handley,,,
Catoutofthebuhrdiebag (Brandon),Garrett Gurthie,,,
Catoutofthebuhrdiebag (Brandon),Zackeriath Johnson,,,
Catoutofthebuhrdiebag (Brandon),Brodie Smith,,,
Catoutofthebuhrdiebag (Brandon),Seppo Paju,,,
Catoutofthebuhrdiebag (Brandon),Rebecca Cox,,,
The AutoDrafters (Jake),Eagle ? ,,,
The AutoDrafters (Jake),Henna Blomroos,,,
The AutoDrafters (Jake),Scott Withers,,,
The AutoDrafters (Jake),Lisa Fajkus,,,
The AutoDrafters (Jake),James Proctor ,,,
The AutoDrafters (Jake),Niklas Anttila,,,
The AutoDrafters (Jake),Deann Carey,,,
The AutoDrafters (Jake),Corey Ellis,,,
The AutoDrafters (Jake),Andrew Fish,,,
The AutoDrafters (Jake),Callie McMorran,,,
Big Barri Tea Time (Danelle),Ricky Wysocki ,,,
Big Barri Tea Time (Danelle),Ohn Scoggins ,,,
Big Barri Tea Time (Danelle),Ella Hansen,,,
Big Barri Tea Time (Danelle),Jeremy Koling,,,
